Source:,C:\Users\gmaur\Documents\KiCad Projects\MPPT_1KW_ESP32_ggmV3\MPPT_1KW_ESP32_ggmV3.sch,,,,
Date:,9/28/2022 14:16,,,,
Tool:,Eeschema (5.1.10)-1,,,,
Component Count:,104,,,,
Ref,Value,Footprint,Datasheet,Manufacturer,Vendor
C1,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C2,2.2uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C3,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C4,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C5,4.7uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,
C6,4.7uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,
C7,470uF,Capacitor_THT:CP_Radial_D16.0mm_P7.50mm,~,,
C8,470uF,Capacitor_THT:CP_Radial_D16.0mm_P7.50mm,~,,
C9,2.2uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C10,4.7uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,~,,
C11,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C12,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C13,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C14,33uF/100V,Capacitor_THT:CP_Radial_D8.0mm_P2.50mm,~,,
C15,33uF/100V,Capacitor_THT:CP_Radial_D8.0mm_P2.50mm,~,,
C16,33nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C17,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C18,33nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C19,100uF/35V,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,~,,
C20,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C21,100uF/35V,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,~,,
C22,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C23,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C24,1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
C25,1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,
D1,SS310,Diode_SMD:D_2010_5025Metric_Pad1.52x2.65mm_HandSolder,~,,
D2,SS310,Diode_SMD:D_2010_5025Metric_Pad1.52x2.65mm_HandSolder,~,,
D3,SS310,Diode_SMD:D_2010_5025Metric_Pad1.52x2.65mm_HandSolder,~,,
D4,1N4007,Diode_SMD:D_2010_5025Metric_Pad1.52x2.65mm_HandSolder,http://www.vishay.com/docs/88503/1n4001.pdf,,
D5,SS310,Diode_SMD:D_2010_5025Metric_Pad1.52x2.65mm_HandSolder,~,,
D6,SS310,Diode_SMD:D_2010_5025Metric_Pad1.52x2.65mm_HandSolder,~,,
D7,SS310,Diode_SMD:D_2010_5025Metric_Pad1.52x2.65mm_HandSolder,~,,
D8,1N4007,Diode_SMD:D_2010_5025Metric_Pad1.52x2.65mm_HandSolder,http://www.vishay.com/docs/88503/1n4001.pdf,,
D9,SS310,Diode_SMD:D_2010_5025Metric_Pad1.52x2.65mm_HandSolder,~,,
D51,LED1,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,
D52,LED2,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,,
F1,35A,ESP32:Mini_Blade,~,,
F2,35A,ESP32:Mini_Blade,~,,
H1,MountingHole,MountingHole:MountingHole_2.7mm,~,,
H2,MountingHole,MountingHole:MountingHole_2.7mm,~,,
H3,MountingHole,MountingHole:MountingHole_2.7mm,~,,
H4,MountingHole,MountingHole:MountingHole_2.7mm,~,,
J1,Solar-Battery,ESP32:Conn-Screw-4-term,,,
J2,Interface,Connector_JST:JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,~,,
J3,10k Thermistor,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,~,,
J4,Conn_01x02,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,~,,
J5,ADS1015 Module,Connector_JST:JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical,~,,
J6,TFT,Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,~,,
J8,5V,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,~,,
L1,60uH,Inductor_THT:L_Toroid_Vertical_L41.9mm_W17.8mm_P12.70mm_Pulse_F,~,,
L2,100uH/1A,Inductor_SMD:L_Taiyo-Yuden_NR-60xx_HandSoldering,~,,
L3,100uH/1A,Inductor_SMD:L_Taiyo-Yuden_NR-60xx_HandSoldering,~,,
Q1,CSD19505,Package_TO_SOT_THT:TO-220-3_Vertical,~,,
Q2,CSD19505,Package_TO_SOT_THT:TO-220-3_Vertical,~,,
Q3,CSD19505,Package_TO_SOT_THT:TO-220-3_Vertical,~,,
Q4,Si2306,Package_TO_SOT_SMD:SOT-23,https://www.infineon.com/dgdl/irlml0030pbf.pdf?fileId=5546d462533600a401535664773825df,,
Q5,Si2306DS,Package_TO_SOT_SMD:SOT-23,~,,
R1,200k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R2,5.1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R3,3.3k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R4,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R5,1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R6,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R7,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R8,100k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R9,100,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R10,100,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R11,100k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R12,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R13,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R14,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R15,1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R16,47k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R17,47k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R18,18k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R19,3300,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R20,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R21,18k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R22,2000,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R23,3300,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R24,5600,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R25,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R26,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R27,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R28,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R29,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R30,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R31,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R32,47k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R33,47k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R34,1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R36,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R37,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R38,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
R39,0,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,
U1,ACS712xLCTR-30A,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en,,
U2,B1212,ESP32:B1212S,,,
U3,AMS1117-5.0,Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://www.advanced-monolithic.com/pdf/ds1117.pdf,,
U4,XL7015,Package_TO_SOT_SMD:TO-252-5_TabPin3,,,
U5,XL7015,Package_TO_SOT_SMD:TO-252-5_TabPin3,,,
U6,XL7015_Module,ESP32:Module_XL7015,,,
U7,IR2104,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.infineon.com/dgdl/ir2104.pdf?fileId=5546d462533600a4015355c7c1c31671,,
U8,ESP-WROOM-32S,ESP32-Footprints:ESP-WROOM-32S,,,
U9,XL7015_Module,ESP32:Module_XL7015,,,
